weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,4,CY,1,1,0.8,1,0.07,10,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,4,CY,1.11,0.83,0.5,1,-0.09,10,1,Cyprus
10,ILM-EKF,inc case,4,CY,0.97,0.82,0.4,0.8,-0.43,10,1,Cyprus
10,MUNI-ARIMA,inc case,4,CY,0.9,0.86,0.8,1,0.06,10,1,Cyprus
10,USC-SIkJalpha,inc case,4,CY,2,2.02,0,0.3,0.19,10,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,3,CY,1,1,0.8,1,0.02,10,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,3,CY,1.16,0.83,0.7,1,-0.07,10,1,Cyprus
10,ILM-EKF,inc case,3,CY,1.35,0.97,0.5,0.8,-0.28,10,1,Cyprus
10,MUNI-ARIMA,inc case,3,CY,0.89,0.86,0.8,1,0.02,10,1,Cyprus
10,USC-SIkJalpha,inc case,3,CY,1.99,1.77,0.2,0.6,0.22,10,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,2,CY,1,1,0.8,1,-0.01,10,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,2,CY,1.12,0.87,0.7,1,-0.07,10,1,Cyprus
10,ILM-EKF,inc case,2,CY,1.83,1.18,0.6,0.9,-0.1,10,1,Cyprus
10,MUNI-ARIMA,inc case,2,CY,0.87,0.89,0.8,1,-0.05,10,1,Cyprus
10,USC-SIkJalpha,inc case,2,CY,1.05,0.89,0.6,0.8,0.26,10,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,1,CY,1,1,0.67,1,-0.11,9,1,Cyprus
10,EuroCOVIDhub-ensemble,inc case,1,CY,1.24,1.02,0.89,1,-0.01,9,1,Cyprus
10,ILM-EKF,inc case,1,CY,2.48,1.58,0.44,0.89,-0.16,9,1,Cyprus
10,MUNI-ARIMA,inc case,1,CY,1.28,0.99,0.78,1,-0.14,9,1,Cyprus
10,SDSC_ISG-TrendModel,inc case,1,CY,1.92,1.75,0.75,1,-0.12,8,1,Cyprus
10,USC-SIkJalpha,inc case,1,CY,1.99,1.39,0.56,0.67,0.52,9,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,4,CY,1,1,0.8,1,0.18,10,1,Cyprus
10,EuroCOVIDhub-ensemble,inc death,4,CY,0.73,0.75,0.8,0.9,0.21,10,1,Cyprus
10,ILM-EKF,inc death,4,CY,0.47,0.5,0.7,1,0,10,1,Cyprus
10,MUNI-ARIMA,inc death,4,CY,1.02,0.95,0.7,1,0.39,10,1,Cyprus
10,USC-SIkJalpha,inc death,4,CY,0.47,0.42,0.5,0.8,-0.13,10,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,3,CY,1,1,0.8,1,0.22,10,1,Cyprus
10,EuroCOVIDhub-ensemble,inc death,3,CY,0.72,0.73,0.8,1,0.28,10,1,Cyprus
10,ILM-EKF,inc death,3,CY,0.84,0.81,0.8,1,0.08,10,1,Cyprus
10,MUNI-ARIMA,inc death,3,CY,1.19,0.96,0.6,1,0.4,10,1,Cyprus
10,USC-SIkJalpha,inc death,3,CY,0.31,0.31,0.6,0.9,-0.14,10,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,2,CY,1,1,0.8,1,-0,10,1,Cyprus
10,EuroCOVIDhub-ensemble,inc death,2,CY,0.71,0.69,0.8,1,0.14,10,1,Cyprus
10,ILM-EKF,inc death,2,CY,0.53,0.69,0.9,1,0.09,10,1,Cyprus
10,MUNI-ARIMA,inc death,2,CY,0.82,0.77,0.7,1,0.18,10,1,Cyprus
